City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Macau,MO,2020-02-21 19:00:01,22.2,113.55,66.0,87,0,2.24
178,Lagoa,PT,2020-02-21 19:00:31,39.05,-27.98,59.85,73,40,9.8
179,Cabo San Lucas,MX,2020-02-21 18:59:49,22.89,-109.91,84.99,42,20,5.23
180,Beringovskiy,RU,2020-02-21 19:00:31,63.05,179.32,-11.96,76,0,3.44
181,Mazara Del Vallo,IT,2020-02-21 19:00:32,37.66,12.59,53.6,87,40,8.05
182,Araouane,ML,2020-02-21 19:00:32,18.9,-3.53,85.03,8,61,6.78
183,Samarai,PG,2020-02-21 19:00:32,-10.62,150.67,76.51,87,82,2.46
184,Te Anau,NZ,2020-02-21 19:00:32,-45.42,167.72,48.43,74,100,6.44
185,Nuuk,GL,2020-02-21 19:00:33,64.18,-51.72,15.8,61,20,6.93
186,Colesberg,ZA,2020-02-21 18:59:13,-30.72,25.1,76.32,49,51,5.37
187,Alofi,NU,2020-02-21 19:00:33,-19.06,-169.92,78.8,94,75,1.12
188,Saint-Pierre,RE,2020-02-21 19:00:33,-21.34,55.48,78.8,69,20,17.22
189,Popondetta,PG,2020-02-21 19:00:34,-8.75,148.25,73.4,91,100,3.85
190,Miandrivazo,MG,2020-02-21 19:00:34,-19.52,45.47,80.46,82,80,3.04
191,Severo-Kurilsk,RU,2020-02-21 19:00:34,50.68,156.12,15.67,91,91,14.12
192,Ponta Delgada,PT,2020-02-21 19:00:35,37.73,-25.67,59.0,62,75,8.05
193,Glencoe,ZA,2020-02-21 19:00:35,-28.18,30.15,66.02,90,46,5.99
194,Mehamn,NO,2020-02-21 19:00:35,71.04,27.85,28.8,80,63,14.79
195,Kasempa,ZM,2020-02-21 19:00:36,-13.46,25.83,68.81,84,99,1.39
196,Kamina,CD,2020-02-21 19:00:36,-8.74,24.99,69.8,91,100,2.3
197,Nome,US,2020-02-21 19:00:36,64.5,-165.41,-6.0,63,20,5.21
198,Srednekolymsk,RU,2020-02-21 19:00:36,67.45,153.68,-17.28,97,96,5.08
199,Tiksi,RU,2020-02-21 19:00:36,71.69,128.87,-4.52,86,100,10.51
200,Haines Junction,CA,2020-02-21 19:00:37,60.75,-137.51,21.7,95,88,8.52
201,Vanavara,RU,2020-02-21 19:00:37,60.34,102.28,15.87,97,100,3.36
202,Tuktoyaktuk,CA,2020-02-21 19:00:37,69.45,-133.04,-0.4,84,75,10.29
203,Sangueya,GN,2020-02-21 19:00:38,10.7,-14.37,83.03,57,81,10.74
204,Gayeri,BF,2020-02-21 19:00:38,12.65,0.49,89.47,8,0,8.97
205,Kavieng,PG,2020-02-21 19:00:38,-2.57,150.8,83.8,73,47,7.94
206,Radzyn Podlaski,PL,2020-02-21 19:00:38,51.78,22.62,39.99,100,75,4.7
207,Akyab,MM,2020-02-21 19:00:39,20.15,92.9,68.94,53,0,6.29
208,San Isidro,PE,2020-02-21 19:00:39,-12.12,-77.05,84.2,62,93,11.41
209,Marzuq,YE,2020-02-21 19:00:39,14.4,46.47,67.96,65,22,4.36
210,Nyimba,ZM,2020-02-21 19:00:39,-14.56,30.81,70.54,94,89,4.88
211,Taywarah,AF,2020-02-21 19:00:40,33.35,64.42,25.74,54,25,5.55
212,Tamandare,BR,2020-02-21 19:00:40,-8.76,-35.1,81.93,79,12,13.51
213,Rabak,SD,2020-02-21 19:00:40,13.18,32.74,79.65,8,74,13.89
214,Emerald,AU,2020-02-21 19:00:40,-23.53,148.17,75.2,100,75,6.93
215,Ous,RU,2020-02-21 19:00:41,60.91,61.52,15.22,94,41,3.09
216,Wamba,NG,2020-02-21 19:00:41,8.93,8.6,88.43,17,0,4.9
217,Wajima,JP,2020-02-21 19:00:41,37.4,136.9,48.9,65,100,9.53
218,Timizart,DZ,2020-02-21 19:00:42,36.8,4.27,57.76,73,5,9.62
219,Menongue,AO,2020-02-21 19:00:42,-14.66,17.69,67.84,90,87,4.92
220,Wageningen,NL,2020-02-21 19:00:42,51.97,5.67,48.99,75,90,19.46
221,Svrljig,RS,2020-02-21 19:00:42,43.41,22.12,42.8,60,75,17.22
222,Ankang,CN,2020-02-21 19:00:42,32.68,109.02,39.0,77,0,14.0
223,Castro,BR,2020-02-21 19:00:26,-24.79,-50.01,77.95,86,53,2.21
224,Lebu,CL,2020-02-21 19:00:43,-37.62,-73.65,77.58,32,0,5.53
225,Turukhansk,RU,2020-02-21 19:00:43,65.82,87.98,24.15,97,99,5.32
226,Murdochville,CA,2020-02-21 19:00:43,48.96,-65.5,12.79,66,19,6.67
227,Ugoofaaru,MV,2020-02-21 19:00:44,5.67,73.0,82.74,78,49,14.7
228,Ejura,GH,2020-02-21 19:00:44,7.39,-1.36,95.45,25,57,3.06
229,Villeta,CO,2020-02-21 19:00:44,5.01,-74.47,68.0,56,40,13.87
230,Ilulissat,GL,2020-02-21 19:00:44,69.22,-51.1,-2.2,53,20,6.93
231,Oistins,BB,2020-02-21 19:00:45,13.07,-59.53,84.2,58,40,17.22
232,Egvekinot,RU,2020-02-21 19:00:45,66.32,-179.17,-22.81,99,99,2.53
233,Corinth,GR,2020-02-21 19:00:45,37.94,22.96,51.01,66,20,5.82
234,Arman,RU,2020-02-21 19:00:45,59.7,150.17,-6.45,87,0,4.88
235,Rubizhne,UA,2020-02-21 19:00:46,49.01,38.38,32.79,97,100,9.24
